附件9：近年主要影响台风汇总表（2018年至2022年）
序号 | 台风名称 | 登陆点 | 最大风力 | 对上海轨道交通主要影响时段 | 主要运营调整措施
1 | 安比 | 上海市崇明岛沿海 | 7-8级，小洋山10级 | 2018年7月22日 | 7月22日10:05起，2号线东延伸凌空路至浦东国际机场区段、6号线博兴路至港城路区段、16号线全线列车限速45km/h运行。11：45起，6号线部分区段（港城路至巨峰路）暂停运营； 12:00起，浦江线全线暂停运营。17：30 6号线恢复运营，18：00浦江线全线恢复运营。
2 | 云雀 | 上海金山沿海 | 沿江沿海9-10级，滴水湖10级 | 2018年8月2日—3日 | ——
3 | 温比亚 | 上海浦东新区南部沿海 | 沿江沿海10-11级 | 2018年8月16日—17日 | ——
4 | 利奇马 | 浙江温岭城南镇 | 市区最大风力出现在杨浦区为 9 级，长江口区和沿江沿海地区最大阵风 11 级，洋山港区及附近沿岸海域最大阵风 13～15 级 | 2019年8月9日—11日 | 8月10日运营开始起16号线、浦江线、磁浮线暂停运营，2号线、5号线、6号线、8号线、17号线地面高架段限速40KM/H运行；9:50起2号线部分区段（广兰路至浦东国际机场）暂停运营；11:00起 6号线部分区段（港城路至巨峰路）暂停运营；15:00起 8号线部分区段（东方体育中心至沈杜公路）暂停运营；15:30 起 5号线全线、9号线部分区段（松江大学城至九亭）暂停运营。8月11日0:00起全网恢复正常运营。
5 | 黑格比 | 浙江乐清沿海登陆 | 本市陆地最大阵风 10 级，江河湖面和沿江沿海地区最大阵风 10 级，沿海海面最大阵风 11 级 | 2020年8月3日—4日 | ——
6 | 烟花 | 浙江嘉兴平湖市沿海 | 陆地和沿江沿海地区普遍出现 9～ 12 级阵风，最大阵风出现在宝山吴淞街道 35.6 米/秒，洋山港区和沿海海面最大阵风 14 级 | 2021年7月24日—26日 | 7月25日运营开始起，全路网14条线路（1、2、3、4、5、6、7、8、9、10、11、16、17号线、浦江线）地面、高架区段列车限速60km/h运行；自12:05起，6条线路全线（3、5、16、17号线、浦江线、磁浮线）、9条线路地面、高架区段（1、2、4、6、7、8、9、10、11号线）陆续停运，159座车站暂停运营。自7月26日13:30起，各停运线路开始逐步恢复运营，至当日18:00全路网线路均恢复正常运营。
7 | 灿都 | —— | 本市陆地最大阵风 10 级，沿江沿海地区最大阵风 13 级。洋山港区及附近沿岸海域最大阵风 12～14 级，上海市沿海海面和浙北沿海海面最大阵风 13～14 级。 | 2021年9月13日—14日 | 9月13日运营开始起，轨道交通陆续实施了4条线路全线停运（5号线、16号线、磁浮线、浦江线）、1条线路缩线运营措施（2号线广兰路（不含）至浦东国际机场暂停运营）。自9月14日11:00分起各线路逐步恢复正常运营。
8 | 轩岚诺 | —— | 内陆最大阵风 8～9 级，沿江沿海地区 9～11 级，洋山港区及上海沿岸海域 10～11 级。 | 2022年9月5日—6日 | ——
9 | 梅花 | 上海奉贤 | 沿江沿海地区宝山吴淞街道 14 级（42.8 米/秒），洋山港区和上海市沿海海面嵊泗马迹山菜园气象观测站最大 15 级（49.3 米/秒） | 2022年9月13日—14日 | 9月14日受台风显著影响，为确保全网运营安全，自21时起3、5、16、17号线、浦江线、磁浮线全线，1、2、4、6、7、8、9、10、11号线地面、高架区段提前结束运营。9月15日6时起全网恢复正常运营。
